Premier League,La Liga,Serie A,Bundesliga,Ligue 1,Liga Portugal
Arsenal,Barcelona,Napoli,Union Berlin,PSG,Benfica
Manchester City,Real Madrid,Atalanta,Bayern Munchen,Lorient- Bretagne Sud,Porto
Tottenham,Atlético Madrid,Milan,Freiburg,Olympique de Marselha,Braga
Chelsea,Athletic Bilbao,Lazio,Hoffenheim,Lens,Casa Pia
Manchester United,Betis,Udinese,Eintracht,Rennes,Sporting
Newcastle,Real Sociedad,Roma,Monchengladbach,Mônaco,Boavista
Brighton,Valencia,Inter,Colônia,Lille,Estoril
Brentford,Osasuna,Juventus,Borussia,Clermont,Portimonense
Bournemouth,Villarreal,Sassuolo,Werder Bremen,Toulouse,Vitória SC
Fulham,Rayo Vallecano,Empoli,RB Leipzig,Lyon,Chaves
Liverpool,Celta de Vigo,Torino,Mainz 05,Montpellier,Arouca
Crystal Palace,Mallorca,Salernitana,Augsburg,Troyes,Vizela
West Ham,Sevilla,Monza,Wolfsburg,Nice,Rio Ave
Everton,Girona,Florentina,VfB Stuttgart,Nantes,Gil Vicente
Leeds,Real Valladolid,Spezia,Hertha Berlin,Reims,Famalicão
Aston Villa,Getafe,Lecce,Leverkusen,Auxerre,Santa Clara
Wolves,Almería,Bologna,Schalke,RC Strasbourg,Paços de Ferreira
Southampton,Espanyol,Verona,Bochum,Ajaccio,Marítimo
Leicester City,Cádiz,Cremonese,,Angers,
Nottingham Forest,Elche,Sampdoria,,Stade Brestois,